;Accession;Species name;Taxid;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
155;GCA_025594305.2;Periplaneta americana;6978;root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blattoidea;Blattidae;Blattinae;Periplaneta;Periplaneta americana;;;;;;;;;;;
108;GCA_030220185.1;Diploptera punctata;6984;root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blaberoidea;Blaberidae;Diplopterinae;Diploptera;Diploptera punctata;;;;;;;;;;;
190;GCA_017312745.1;Gryllus bimaculatus;6999;root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Ensifera;Gryllidea;Grylloidea;Gryllidae;Gryllinae;Gryllus;Gryllus bimaculatus;;;;;;;;;;
256;GCF_021461395.2;Schistocerca americana;7009;root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca americana;;;;;;;;;
97;GCF_023897955.1;Schistocerca gregaria;7010;root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria;;;;;;;;;
178;GCF_023898315.1;Schistocerca nitens;7011;root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca nitens;;;;;;;;;
161;GCF_005508785.2;Acyrthosiphon pisum;7029;root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Aphidomorpha;Aphidoidea;Aphididae;Aphidinae;Macrosiphini;Acyrthosiphon;Acyrthosiphon pisum;;;;;;;;;
298;GCF_001854935.1;Bemisia tabaci;7038;root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Aleyrodoidea;Aleyrodidae;Aleyrodinae;Bemisia;Bemisia tabaci;;;;;;;;;;;
116;GCF_002938485.1;Sitophilus oryzae;7048;root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Cucujiformia;Curculionoidea;Curculionidae;Dryophthorinae;Sitophilus;Sitophilus oryzae;;;;;;;;;;
34;GCF_008802855.1;Photinus pyralis;7054;root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Elateriformia;Elateroidea;Lampyridae;Lampyrinae;Photinus;Photinus pyralis;;;;;;;;;;
