;Taxid;Species_name;Superorder;Protein ID;Bit score;Ratio;SET;KRAB;SSXRD;ZF;Best_Match
0;1661398;Asbolus verrucosus;Endopterygota;RZB39860.1;0;0;1;0;0;4;PRDM1
1;1661398;Asbolus verrucosus;Endopterygota;RZC31881.1;0;0;1;0;0;2;PRD10
2;1661398;Asbolus verrucosus;Endopterygota;RZB40865.1;0;0;1;0;0;2;PRDM1
3;1661398;Asbolus verrucosus;Endopterygota;RZC35583.1;0;0;1;0;0;6;PRD15
4;1661398;Asbolus verrucosus;Endopterygota;RZC38020.1;0;0;1;0;0;5;PRDM5
5;197043;Homalodisca vitripennis;Paraneoptera;XP_046662986.1;125.0;1.2019230769230769;1;0;0;2;PRDM9
6;197043;Homalodisca vitripennis;Paraneoptera;XP_046685537.1;126.0;1.2233009708737863;1;0;1;2;PRDM9
7;197043;Homalodisca vitripennis;Paraneoptera;XP_046664519.1;0;0;1;0;0;4;PRDM1
8;197043;Homalodisca vitripennis;Paraneoptera;XP_046664415.1;0;0;1;0;0;4;PRD15
9;197043;Homalodisca vitripennis;Paraneoptera;XP_046672906.1;0;0;1;0;0;9;PRDM1
10;197043;Homalodisca vitripennis;Paraneoptera;XP_046672905.1;0;0;1;0;0;9;PRDM1
11;197043;Homalodisca vitripennis;Paraneoptera;XP_046659688.1;0;0;1;0;0;2;PRDM4
12;197043;Homalodisca vitripennis;Paraneoptera;XP_046664416.1;0;0;1;0;0;4;PRD10
13;197043;Homalodisca vitripennis;Paraneoptera;XP_046663644.1;0;0;1;0;0;6;PRDM6
14;197043;Homalodisca vitripennis;Paraneoptera;XP_046663645.1;0;0;1;0;0;6;PRDM6
15;2872261;Neodiprion fabricii;Endopterygota;XP_046422095.1;0;0;1;0;0;4;PRDM1
16;2872261;Neodiprion fabricii;Endopterygota;XP_046422096.1;0;0;1;0;0;4;PRDM1
17;2872261;Neodiprion fabricii;Endopterygota;XP_046422097.1;0;0;1;0;0;4;PRDM1
18;2872261;Neodiprion fabricii;Endopterygota;XP_046422098.1;0;0;1;0;0;4;PRDM1
19;2872261;Neodiprion fabricii;Endopterygota;XP_046422099.1;0;0;1;0;0;4;PRDM1
20;2872261;Neodiprion fabricii;Endopterygota;XP_046412062.1;0;0;1;0;0;5;PRD15
21;2872261;Neodiprion fabricii;Endopterygota;XP_046418992.1;0;0;1;0;0;4;PRD10
22;2872261;Neodiprion fabricii;Endopterygota;XP_046418986.1;0;0;1;0;0;4;PRD10
23;2872261;Neodiprion fabricii;Endopterygota;XP_046418987.1;0;0;1;0;0;4;PRD10
24;2872261;Neodiprion fabricii;Endopterygota;XP_046418988.1;0;0;1;0;0;4;PRD10
25;2872261;Neodiprion fabricii;Endopterygota;XP_046418989.1;0;0;1;0;0;4;PRD10
26;2872261;Neodiprion fabricii;Endopterygota;XP_046418990.1;0;0;1;0;0;4;PRD10
27;2872261;Neodiprion fabricii;Endopterygota;XP_046412063.1;0;0;1;0;0;5;PRD15
28;2872261;Neodiprion fabricii;Endopterygota;XP_046411885.1;0;0;1;0;0;2;PRDM4
29;2872261;Neodiprion fabricii;Endopterygota;XP_046435451.1;0;0;1;0;0;6;PRDM2
30;2872261;Neodiprion fabricii;Endopterygota;XP_046435461.1;0;0;1;0;0;5;PRDM2
31;2872261;Neodiprion fabricii;Endopterygota;XP_046436109.1;40.8;1.0822281167108752;1;0;0;3;PRDM9
32;7130;Manduca sexta;Endopterygota;XP_037303297.1;85.1;1.2351233671988386;1;0;0;0;PRDM9
33;7130;Manduca sexta;Endopterygota;XP_030026388.2;0;0;1;0;0;4;PRDM1
34;7130;Manduca sexta;Endopterygota;XP_030026384.2;0;0;1;0;0;4;PRDM1
35;7130;Manduca sexta;Endopterygota;XP_030026385.2;0;0;1;0;0;4;PRDM1
36;7130;Manduca sexta;Endopterygota;XP_030026386.2;0;0;1;0;0;4;PRDM1
37;7130;Manduca sexta;Endopterygota;XP_030026387.2;0;0;1;0;0;4;PRDM1
38;7130;Manduca sexta;Endopterygota;XP_037298031.1;59.3;1.3632183908045976;1;0;0;0;PRDM9
39;7130;Manduca sexta;Endopterygota;XP_037297539.1;62.8;1.0790378006872852;1;0;0;13;PRDM9
40;7130;Manduca sexta;Endopterygota;XP_037293142.1;0;0;1;0;0;7;PRDM1
41;7130;Manduca sexta;Endopterygota;XP_037293143.1;0;0;1;0;0;7;PRDM1
42;7130;Manduca sexta;Endopterygota;XP_030020322.2;0;0;1;0;0;7;PRDM1
43;7130;Manduca sexta;Endopterygota;XP_030020321.2;0;0;1;0;0;7;PRDM1
44;7130;Manduca sexta;Endopterygota;XP_030020318.2;0;0;1;0;0;7;PRDM1
45;7130;Manduca sexta;Endopterygota;XP_030020320.2;0;0;1;0;0;6;PRDM1
46;7130;Manduca sexta;Endopterygota;XP_030032141.1;0;0;1;0;0;1;PRD10
47;7130;Manduca sexta;Endopterygota;XP_037298280.1;0;0;1;0;0;1;PRD10
48;7130;Manduca sexta;Endopterygota;XP_037298279.1;0;0;1;0;0;1;PRD10
49;7130;Manduca sexta;Endopterygota;XP_030025634.1;0;0;1;0;0;5;PRDM6
50;7130;Manduca sexta;Endopterygota;XP_037298281.1;0;0;1;0;0;1;PRD15
51;1486046;Drosophila subpulchrella;Endopterygota;XP_037718049.1;0;0;1;0;0;5;PRDM1
52;1486046;Drosophila subpulchrella;Endopterygota;XP_037718045.1;0;0;1;0;0;5;PRDM1
53;1486046;Drosophila subpulchrella;Endopterygota;XP_037718047.1;0;0;1;0;0;5;PRDM1
54;1486046;Drosophila subpulchrella;Endopterygota;XP_037718048.1;0;0;1;0;0;5;PRDM1
55;1486046;Drosophila subpulchrella;Endopterygota;XP_037724206.1;0;0;1;0;0;2;PRDM5
56;1486046;Drosophila subpulchrella;Endopterygota;XP_037707930.1;0;0;1;0;0;7;PRD10
57;1486046;Drosophila subpulchrella;Endopterygota;XP_037707929.1;0;0;1;0;0;7;PRD10
58;7225;Scaptodrosophila lebanonensis;Endopterygota;XP_030372102.1;0;0;1;0;0;5;PRDM1
59;7225;Scaptodrosophila lebanonensis;Endopterygota;XP_030381813.1;0;0;1;0;0;0;PRDM5
60;7225;Scaptodrosophila lebanonensis;Endopterygota;XP_030383989.1;0;0;1;0;0;6;PRDM5
61;7225;Scaptodrosophila lebanonensis;Endopterygota;XP_030383880.1;0;0;1;0;0;6;PRD16
62;874455;Arctia plantaginis;Endopterygota;CAB3243545.1;0;0;1;0;0;0;PRDM1
63;874455;Arctia plantaginis;Endopterygota;CAB3242589.1;0;0;1;0;0;0;PRDM6
64;874455;Arctia plantaginis;Endopterygota;CAB3234127.1;0;0;1;0;0;7;PRDM1
65;874455;Arctia plantaginis;Endopterygota;CAB3234126.1;0;0;1;0;0;6;PRDM1
66;874455;Arctia plantaginis;Endopterygota;CAB3222563.1;0;0;1;0;0;1;PRD13
67;874455;Arctia plantaginis;Endopterygota;CAB3247840.1;0;0;1;0;0;2;PRDM4
68;105785;Cryptotermes secundus;Polyneoptera;XP_023708049.2;139.0;1.4212678936605316;1;1;1;5;PRDM9
69;105785;Cryptotermes secundus;Polyneoptera;XP_033607816.1;0;0;1;0;0;3;PRDM1
70;105785;Cryptotermes secundus;Polyneoptera;XP_023709680.1;0;0;1;0;0;3;PRDM1
71;105785;Cryptotermes secundus;Polyneoptera;XP_033607815.1;0;0;1;0;0;3;PRDM1
72;105785;Cryptotermes secundus;Polyneoptera;XP_023707681.1;0;0;1;0;0;2;PRD10
73;105785;Cryptotermes secundus;Polyneoptera;XP_023721529.1;0;0;1;0;0;2;PRD10
74;105785;Cryptotermes secundus;Polyneoptera;XP_023721528.1;0;0;1;0;0;2;PRD10
75;105785;Cryptotermes secundus;Polyneoptera;XP_023721525.1;0;0;1;0;0;2;PRD10
76;105785;Cryptotermes secundus;Polyneoptera;XP_033610449.1;0;0;1;0;0;2;PRD10
77;105785;Cryptotermes secundus;Polyneoptera;XP_023721527.1;0;0;1;0;0;2;PRD10
78;105785;Cryptotermes secundus;Polyneoptera;XP_023721526.1;0;0;1;0;0;2;PRD10
79;105785;Cryptotermes secundus;Polyneoptera;XP_023708193.1;0;0;1;0;0;3;PRD15
80;105785;Cryptotermes secundus;Polyneoptera;XP_023708192.1;0;0;1;0;0;3;PRD15
81;105785;Cryptotermes secundus;Polyneoptera;XP_023715253.1;0;0;1;0;0;1;PRDM1
82;105785;Cryptotermes secundus;Polyneoptera;XP_023715252.1;0;0;1;0;0;1;PRDM1
83;105785;Cryptotermes secundus;Polyneoptera;XP_033611519.1;0;0;1;0;0;6;PRDM5
84;105785;Cryptotermes secundus;Polyneoptera;XP_033611520.1;0;0;1;0;0;6;PRDM5
85;105785;Cryptotermes secundus;Polyneoptera;XP_033611518.1;0;0;1;0;0;6;PRDM5
86;105785;Cryptotermes secundus;Polyneoptera;XP_023726431.1;0;0;1;0;0;6;PRDM5
87;105785;Cryptotermes secundus;Polyneoptera;XP_023708194.1;0;0;1;0;0;3;PRD15
88;105785;Cryptotermes secundus;Polyneoptera;XP_023723005.1;43.1;1.0461165048543688;1;0;0;6;PRDM9
